Shape,nsites,elements,nelements,composition,composition_reduced,formula_pretty,formula_anonymous,chemsys,volume,density,density_atomic,symmetry,material_id,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,grain_boundaries,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,types_of_magnetic_species,k_vrh,g_vrh,e_total,e_ionic,e_electronic,n,e_ij_max,weighted_surface_energy_EV_PER_ANG2,weighted_surface_energy,weighted_work_function,surface_anisotropy,shape_factor,has_reconstructed,possible_species,theoretical
Orthorhombic,20,"[Element Al, Element O, Element Tl]",3,Al4 Tl4 O12,Al1 Tl1 O3,AlTlO3,ABC3,Al-O-Tl,214.28280191741933,8.659458159188336,10.714140095870967,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',mp-768539,-5.9681607985,-6.3803607985,-2.1907037764166666,0.0889291161363639,False,,0.7376999999999994,6.9403,6.2026,6.25299205,True,False,False,NM,0.0012436,5.803545542956176e-06,0.0003109,0,0,[],,,,,,,,,,,,,,"['Tl3+', 'Al3+', 'O2-']",True
Cubic,10,"[Element F, Element K, Element Na, Element Rh]",4,K2 Na1 Rh1 F6,K2 Na1 Rh1 F6,K2NaRhF6,ABC2D6,F-K-Na-Rh,154.60154636911963,3.4164474988723152,15.460154636911962,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',mp-14039,-4.600804296,-4.878004295999999,-2.640353809755172,0.0,True,,2.0000999999999998,2.0122,0.0121,0.0582441,True,False,False,NM,0.0,0.0,0.0,0,0,[],,,,,,,,,,,,,,"['Rh3+', 'F-', 'K+', 'Na+']",False
Cubic,10,"[Element F, Element K, Element Ta]",3,K3 Ta1 F6,K3 Ta1 F6,K3TaF6,AB3C6,F-K-Ta,196.16268755102053,3.489600088411608,19.616268755102052,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1110844,-5.2907225449999995,-5.567922545,-2.9021377174,0.2634973316,False,,0.0,,,3.17853799,False,True,True,FM,1.8606921,0.009485453748771907,1.8606921,1,1,[Element Ta],,,,,,,,,,,,,,"['Ta3+', 'F-', 'K+']",True
Cubic,10,"[Element As, Element Cl, Element K]",3,K3 As1 Cl6,K3 As1 Cl6,K3AsCl6,AB3C6,As-Cl-K,328.16187681628145,2.049017890766697,32.81618768162814,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1111182,-3.3040029410000002,-3.672402941,-1.7642494204,0.0617071832499998,False,,3.4739,2.7462,-0.7277,-0.73857574,True,False,False,NM,0.0010726,3.2685088542459964e-06,0.0010726,0,0,[],,,,,,,,,,,,,,"['Cl-', 'K+', 'As3+']",True
Cubic,10,"[Element I, Element K, Element Li, Element Nd]",4,K2 Li1 Nd1 I6,K2 Li1 Nd1 I6,K2LiNdI6,ABC2D6,I-K-Li-Nd,444.48700923612415,3.7015092312272095,44.448700923612414,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1110939,-3.158073796,-3.3854737960000003,-1.6116671666833333,0.06977485500000036,False,,2.9488000000000003,3.5485,0.5997,0.60083333,True,False,False,NM,0.0016359,3.6804225230595286e-06,0.0016359,0,0,[],,,,,,,,,,,,,,"['Nd3+', 'Li+', 'K+', 'I-']",True
Cubic,10,"[Element Br, Element Ce, Element Cs, Element Na]",4,Cs2 Na1 Ce1 Br6,Cs2 Na1 Ce1 Br6,Cs2NaCeBr6,ABC2D6,Br-Ce-Cs-Na,400.74810642280545,3.763798628756898,40.074810642280546,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1112660,-3.71141195,-4.03181195,-2.1953530327413793,0.0,True,,3.1789,2.4441,-0.7348,2.13467574,False,False,True,FM,0.9980017,0.0024903466392104867,0.9980017,1,1,[Element Ce],,,,,,,,,,,,,,"['Br-', 'Cs+', 'Ce3+', 'Na+']",True
Cubic,10,"[Element Cl, Element In, Element Rb]",3,Rb2 In2 Cl6,Rb1 In1 Cl3,RbInCl3,ABC3,Cl-In-Rb,327.42314383910946,3.1103217933791165,32.742314383910944,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1114001,-3.2576958869999997,-3.6260958869999995,-1.7705303304999993,0.0,True,,1.6772999999999998,2.5584,0.8811,0.88647718,False,False,False,NM,0.0,0.0,0.0,0,0,[],,,,,,,,,,,,,,"['Cl-', 'In2+', 'Rb+']",True
Cubic,10,"[Element Ba, Element Ca, Element Mo, Element O]",4,Ba2 Ca1 Mo1 O6,Ba2 Ca1 Mo1 O6,Ba2CaMoO6,ABC2D6,Ba-Ca-Mo-O,153.56571582872633,5.478714226488384,15.356571582872633,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',mp-19403,-6.807442311,-7.539842310999999,-2.9029090972500002,0.0,True,,2.258,4.5445,2.2865,2.36964069,False,False,False,NM,0.0,0.0,0.0,0,0,[],,,,,,,,,,,,,,"['Ba2+', 'Ca2+', 'Mo6+', 'O2-']",False
Cubic,10,"[Element As, Element Au, Element Br, Element K]",4,K2 As1 Au1 Br6,K2 As1 Au1 Br6,K2AsAuBr6,ABC2D6,As-Au-Br-K,326.26781049384755,4.2217824520502285,32.62678104938475,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1112435,-2.8483490639999998,-3.168749064,-1.2215522360999997,0.07152609939999977,False,,0.15180000000000005,1.0132,0.8614,0.85054345,False,False,False,NM,0.0004757,1.4580046964485035e-06,0.0004757,0,0,[],,,,,,,,,,,,,,"['Au-', 'Br-', 'As5+', 'K+']",True
Cubic,5,"[Element Br, Element Cs, Element U]",3,Cs1 U1 Br3,Cs1 U1 Br3,CsUBr3,ABC3,Br-Cs-U,193.71287247911607,5.234562509114772,38.74257449582321,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',mp-2647024,-4.5891762819999995,-4.909576282,-1.5403968075862067,0.28575012699999824,False,,0.0,,,4.57461377,False,True,True,FM,3.9998954,0.020648578222034385,3.9998954,1,1,[Element U],,,,,,,,,,,,,,"['Cs+', 'U2+', 'Br-']",True
Cubic,5,"[Element C, Element Ru, Element Tm]",3,Tm1 Ru3 C1,Tm1 Ru3 C1,TmRu3C,ABC3,C-Ru-Tm,69.64222759351004,11.544118706738894,13.92844551870201,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1206773,-8.56665041,-8.56665041,-0.261108702833333,0.0,True,,0.0,,,6.66775119,False,True,False,NM,1.05e-05,1.5077059368759326e-07,1.05e-05,0,0,[],,,,,,,,,,,,,,[],True
Cubic,10,"[Element Ba, Element Cr, Element O, Element Sm]",4,Ba2 Sm1 Cr1 O6,Ba2 Sm1 Cr1 O6,Ba2SmCrO6,ABC2D6,Ba-Cr-O-Sm,148.8412300545195,6.392715770470352,14.88412300545195,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1523013,-7.004223849000001,-7.616323849,-2.8273522737500003,0.1339247138749835,False,,0.0,,,2.60874344,False,True,True,FM,0.9999998,0.0067185671579958525,0.9999998,1,1,[Element Cr],,,,,,,,,,,,,,"['Sm3+', 'O2-', 'Ba2+', 'Cr5+']",True
Cubic,5,"[Element K, Element O, Element Ta]",3,K1 Ta1 O3,K1 Ta1 O3,KTaO3,ABC3,K-O-Ta,63.7546200303669,6.981426041917768,12.75092400607338,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',mp-3614,-8.227823914,-8.640023914,-3.0783753718499995,0.0,True,,2.0995,3.696,1.5965,1.68905649,False,False,False,NM,0.0,0.0,0.0,0,0,[],,,8.810066896666662,3.328901386666668,5.481165509999993,2.3411889095073026,,,,,,,,"['Ta5+', 'K+', 'O2-']",False
Cubic,10,"[Element F, Element Rb, Element Rh, Element Tl]",4,Rb2 Tl1 Rh1 F6,Rb2 Tl1 Rh1 F6,Rb2TlRhF6,ABC2D6,F-Rb-Rh-Tl,198.58184760510488,4.952093330587864,19.85818476051049,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1113861,-4.443528048,-4.720728048,-2.4050387513333336,0.0,True,,1.9393000000000002,2.4376,0.4983,0.62759852,False,False,False,NM,0.0007917,3.986769231668927e-06,0.0007917,0,0,[],,,,,,,,,,,,,,"['Tl+', 'F-', 'Rb+', 'Rh3+']",True
